"PMID","Title","Authors","Citation","First Author","Journal/Book","Publication Year","Create Date","PMCID","NIHMS ID","DOI"
"28737551","Vibrotactile Thresholds on the Mastoid and Forehead Position of Deaf Patients Using Radioear B71 and B81","Fredén Jansson KJ, Håkansson B, Reinfeldt S, Fröhlich L, Rahne T.","Ear Hear. 2017 Nov/Dec;38(6):714-723. doi: 10.1097/AUD.0000000000000456.","Fredén Jansson KJ","Ear Hear","2017","2017/07/25",,,"10.1097/AUD.0000000000000456"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"6517747","Vibrotactile threshold for hairy skin and its transformation into equivalent bone-conduction loss for the mastoid","Lamoré PJ.","Audiology. 1984;23(6):537-51.","Lamoré PJ","Audiology","1984","1984/01/01",,,
,,,,,,,,,,
"6840413","False air-bone gap","Rudmin F.","Ear Hear. 1983 Mar-Apr;4(2):106-7. doi: 10.1097/00003446-198303000-00009.","Rudmin F","Ear Hear","1983","1983/03/01",,,"10.1097/00003446-198303000-00009"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"19838564","Influence of the type of transducer in profound hearing loss","Marangoni AT, Gil D.","Pro Fono. 2009 Jul-Sep;21(3):195-200. doi: 10.1590/s0104-56872009000300003.","Marangoni AT","Pro Fono","2009","2009/10/20",,,"10.1590/s0104-56872009000300003"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"6065533","Vibrotactile sensitivity of deaf children to high intensity sound","Nober EH.","Laryngoscope. 1967 Dec;77(12):2128-46. doi: 10.1288/00005537-196712000-00005.","Nober EH","Laryngoscope","1967","1967/12/01",,,"10.1288/00005537-196712000-00005"
